link,title,description,rake_results,textrank_results,kpe_results,wordcloud_results,IsPrivateEquity
http://www.roshtek.com.au/,Roshtek Software Solutions: Business Software Solutions,Check our site for more of our innovative programs. ... Roshtek Software Solutions  based in Perth Western Australia  is a company providing a broad range of ...,"['stock returns 16', 'specified repair period', 'shipping instructions obtained', 'shelf ”, proven', 'selling tax free', 'retain legal ownership', 'receive expert assistance', 'performing stock takes', 'perform stock takes', 'looking user interface']","['roshtek attendance manager pro manager', 'roshtek asset manager', 'roshtek inventory manager', 'roshtek attendance manager ent', 'roshtek attendance manager professional edition', 'roshtek attendance manager enterprise edition', 'roshtek asset manager professional edition', 'roshtek asset manager basic edition', 'cookies roshtek inventory manager combo pack', 'features roshtek attendance manager pro combo pack']","['account collect', 'use', 'inform', 'datalog skorpio batch', 'payment', 'insur', 'liabil chang', 'stock return', 'edg featur', 'polici']","['industrial_touch_screen', 'touch_screen_pc', 'finger_print_reader', 'manager_pack_datalogic', 'pack_datalogic_batch', 'pc_finger_print', 'screen_pc_finger', 'addition_detailed_information', 'asset_manager_pack', 'combo_pack_industrial']",False
https://adaptsolutions.co.nz/,Adapt Solutions,We are leaders in asset management software. We help local government and infrastructure owners in New Zealand adopt a best practice approach to Asset ...,"['relatable dry humour', 'month claim processing', 'martyn wooster bolstered', 'informed choices .”', 'duo eventually took', 'deprecation type activities', 'dashboard task lists', 'big hierarchy filtering', 'proactive management starts', 'large corporate providers']","['asset management software', 'asset systems', 'maturing asset data', 'asset management resources', 'ground asset data', 'assets', 'asset management ambitions', 'asset owners', 'asset improvement', 'community assets']","['selwyn district council', 'best softwar', 'ongo system mainten', 'adapt platform', 'asset manag softwar', 'manag data integr', 'nige sheed', 'softwar', 'vendor', 'busi develop manag']","['approach_asset_management', 'asset_management_software', 'asset_management_system', 'asset_intensive_industry', 'asset_management_improvement', 'asset_management_infrastructure', 'asset_record_core', 'co_founder_director', 'good_breed_software', 'government_infrastructure_owner']",False
https://iottag.com.au/,Iottag™ | iottag specialises in asset tracking for equipment ...,Our cloud-based Tracking Platform serves as a central viewpoint for all of your business assets. ... 882  882  blue_care  blue_care.png  253570  https:// ... Local Australian support is provided with all iottag solutions  this covers entire system ... 1300 66 22 80 | info@iottag.com.au; Level 2  40 Porter st Prahran VIC 3181.,"['sundown syndrome reflecting', 'instant duress alarm', 'hybrid views via', 'http :// kntk', 'hereby expressly disclaim', 'hand hygiene stations', 'diamond model serves', 'competitive advantages ranging', 'abi research predict', '4ghz equivalent wavelengths']","['bluetooth asset tracking tags', 'asset tracking systems', 'tracking asset tag rfid technology', 'asset tracking tags', 'asset tracking solutions', 'real time asset tracking', 'iottag asset tracking tags', 'rfid asset tracking tags', 'other asset tracking technologies', 'different asset tracking technology']","['bluetooth', 'asset manag', 'bluetooth track tag bluetooth', 'differ asset track technolog', 'busi', 'indoor posit system', 'smart beacon', 'iot', 'locat tag', 'iottag solut']","['real_time_location', 'bluetooth_tracking_tag', 'bluetooth_low_energy', 'asset_tracking_tag', 'time_location_system', 'asset_tracking_practice', 'indoor_positioning_system', 'tag_smart_beacon', 'resident_safety_security', 'safety_security_system']",True
https://trackem.com.au/,Track'em: Leading Asset and Materials Tracking Platform,Apr 15  2020 — Gain visibility  maintain control and drive efficiency of construction  shutdowns and maintenance using the leading asset and materials tracking ...,"['tradie notebooks emerges', 'surrounding environmental factors', 'simplifi \xad cation', 'september 2008 panic', 'respon \xad sible', 'professor fiona wood', 'nick sas appeared', 'mate \xad rials', 'laydown yard inventories', 'latin american imports']","['construction materials', 'material information', 'trackem pty ltd. trackem pty ltd', 'materials tracking barcodes', 'ugl track materials', 'materials control', 'more materials', 'origin energy resources materials tracking projects', 'materials location', 'materials tracking']","['award project valu', 'owner', 'locat', 'valu project valu', 'track', 'client', 'materi', 'tool', 'south australia', 'construct']","['innovator_year_award', 'mining_oil_gas', 'leader_cloud_tracking', 'third_party_software', 'track_leader_cloud', 'cloud_tracking_technology', 'data_result_information', 'trackem_track_leader', 'construction_maintenance_project', 'information_use_software']",False
https://www.thefleetoffice.com.au/,The Fleet Office - Home,The Fleet Office is your technology partner. We offer ... Join Australia's Fastest Growing Telematics Company. australia ... Email: admin@thefleetoffice.com.au.,"['timely manner checking', 'style ="" display', 'qld 4557 fleetar', 'provides constant communication', 'pacific highway upgrade', 'largest employers operational', 'largest employers afloat', 'dual cab ute', '45 brisbane road', '45 brisbane rd']","['fleet office', 'warranty exceptions fleet office', 'fleet', 'sunshine coast office', 'fleet available', 'fleet track', 'gps fleet tracking software', 'the fleet office terms', 'the the fleet office terms', 'customer information']","['detail', 'ivm track fact sheet', 'fleet offic', 'telemat compani resel', 'plant tracker', 'contract', 'month product replac warranti', 'lock', 'custom servic guarante', 'tilt hardwar fact sheet']","['office_term_condition', 'push_form_gform', 'service_webform_push', 'webform_push_form', 'fact_sheet_detail', 'available_asset_asset', 'detail_fact_sheet', 'full_extent_law', 'product_service_website', 'tracker_fact_sheet']",False
https://www.capterra.com.au/software/180952/asset-guru,Asset.Guru Cost & Reviews - Capterra Australia 2020,Guru helps you to understand what you own  where it is and its value in a cloud-based and ready to use platform. Asset.Guru Details. Asset Guru. https://asset.guru.,"['west georgia hrl', 'targeting audiences abroad', 'attending trade fairs', 'asset panda stood', 'asset panda glen', 'undergone certifications --', '580 million domains', 'ultimate trade gecko', 'trade gecko listens', 'several factors bias']","['great inventory management software', 'management system software', 'other asset management software', 'excellent inventory management software', 'management software', 'other inventory management systems', 'work order software', 'inventory management system', 'relevant inventory management software trends', 'customer sales order']","['relev inventori manag softwar trend', 'erp softwar', 'asset panda review', 'great', 'ezofficeinventori', 'tradegecko', 'support', 'inventori mgmt softwar', 'netsuit', 'netsuit distribut edit price overview']","['review_asset_panda', 'asset_panda_platform', 'inventory_management_software', 'client_success_team', 'world_class_client', 'class_client_success', 'netsuite_distribution_edition', 'maintenance_management_software', 'version_usd_month', 'writing_review_asset']",False
https://coreinspection.com/,Core Inspection Software – Online Inspection Software,Welcome to Core Inspection ... Access from any computer or device; Configure Core Inspection to look like your own; Create ... Phone AU: +61 (3) 8657 5593,"['technician next connects', 'seamless billing solution', 'quickly addressed ,.', 'ponsonby technicians creates', 'notifications latest news', 'legislative framework obviously', 'leading technology platforms', 'directed ← back', 'clear operational framework', 'april 4th 2015']","['core inspection software', 'service inspection teams', 'core inspection software limited', 'third party services', 'relation core inspection', 'other sites core inspection software limited', 'third party service providers', 'customer service excellence', 'services', 'inspection reports']","['chain sling inspect templat', 'templat', 'softwar team', 'visual certif', 'core inspect', 'servic industri', 'lift', 'new health', 'job', 'poa']","['core_inspection_software', 'chain_sling_inspection', 'change_privacy_policy', 'field_top_master', 'link_chain_more', 'master_ring_multi', 'multi_link_chain', 'new_health_safety', 'online_equipment_register', 'policy_third_party']",False
https://aerotrack.com.au/about-us-2/,About Us – Aerotrack,Sep 11  2017 — We specialise in aviation management software with a focus on assisting organisations comply with Australia aviation regulatory requirements.,"['typically arrive weekly', 'prevents accidental edits', 'log book printout', 'leading aviation businesses', 'increasingly regulated industry', '‘ urgency ’.', 'authorised release certificate', 'auditing accounting periods', 'multiple locations throughout', 'car 30 mro']","['maintenance items', 'batch creation date report', 'linked maintenance items', 'sales reports', 'report', 'component detail', 'date lifespan component store', 'only maintenance items', 'inventory items', 'available reports']","['mainten item', 'export purchas', 'mainten schedul', 'part', 'templat servic', 'document', 'compon workshop guid', 'flightop guid librari product subscript', 'warn level sale', 'us contact inform setup']","['date_date_range', 'report_least_date', 'report_least_job', 'least_date_range', 'log_book_entry', 'maintenance_scheduling_section', 'least_job_number', 'panel_maintenance_scheduling', 'scheduling_section_aerotrack', 'date_event_type']",False
https://asseteng.com.au/company-profile/,Company Profile | Asset Management Engineers,Our purpose is to assist our clients to maintain compliance in regards to Mining  Occupational Health and Safety  Rail Safety Regulations and Australian ...,"['w ){ window', 'sulphuric acid tank', 'nearly 1600 jobs', 'misread false indicators', 'integrated tool carriers', 'gift vouchers appearing', 'fine tooth comb', 'country comfort hotel', '360 degree radius', 'repeat copyright offenders']","['classified plant inspections', 'classified plant inspection industries ame services', 'ame plant inspection services', 'classified plant management services', 'classified plant management', 'classified plant inspection', 'plant assessor ame', 'classified plant awareness training', 'classified plant inspection services', 'classified plant training']","['classifi plant train', 'plant risk assess', 'oblig ame', 'ewp', 'visual test', 'manag', 'pitfal', 'post', 'air', 'crane pressur relief valv post']","['asset_management_engineer', 'plant_record_book', 'classified_plant_record', 'plant_risk_assessment', 'mine_safety_inspection', 'safety_inspection_regulation', 'air_gas_receiver', 'classified_plant_training', 'itinerant_classified_plant', 'classified_plant_awareness']",False
https://www.conquest-solutions.com.au/,Conquest Solutions: Asset Management for infrastructure ...,Conquest Solutions is a leading provider of corporate infrastructure asset management solutions.,"['seconds meaning deployment', 'rapidly evolving industry', 'new capital works', 'many standard reports', 'reporting tools allow', 'little bit easier', 'completely customised template', 'advanced querying tools', 'want full control', 'printable report template']","['asset management tools', 'user definable standard asset types', 'corporate asset management', 'standard reporting templates', 'reporting tools', 'user management', 'assets', 'asset administrators', 'asset register', 'crucial data']","['asset manag tool', 'easi', 'inform packag asset regist', 'anywher endlessli', 'level', 'need flexibl customis manag easi', 'suit', 'power administr', 'better way', 'tight integr']","['asset_management_tool', 'access_crucial_datum', 'action_defect_template', 'action_management_comprehensive', 'action_project_sub', 'action_task_assistance', 'action_task_defect', 'adaptable_need_organisation', 'administration_comprehensive_easy', 'administration_tool_extensive']",False
