link,title,description,rake_results,textrank_results,kpe_results,wordcloud_results,IsPrivateEquity
https://www.supportability.com.au/,SupportAbility - Disability Client Management System for NDIS ...,... because most client management systems were never designed for disability services providers. SupportAbility have been working with Australian disability,"['unique knowledge around', 'rights reserved 2020', 'modern web browser', 'favourite tablet devices', 'every australian counts', 'create multiple strategies', 'create file notes', 'best possible outcomes', 'client records empower', 'client management systems']","['disability services providers', 'supportability', 'australian disability service providers', 'disability services', 'disability service organisations', 'supportability learning', 'most client management systems', 'great client management systems', 'supportability release notes disability professionals victoria', 'client documents']","['client', 'ndi', 'price', 'mobil', 'australian disabl servic provid', 'instal', 'govern grade audit', 'goal manag', 'third parti system simpl', 'evid']","['disability_service_provider', 'client_management_system', 'disability_service_organisation', 'ability_evidence_management', 'access_level_contact', 'accreditation_affiliation_demonstration', 'action_campaign_australian', 'affiliation_demonstration_request', 'affordable_pricing_accreditation', 'application_integration_third']",False
https://absolutehomecare.com.au/,Absolute Home Care,Absolute Home Care provides a wide range of speciality nursing  personal care ... may have dementia or a chronic disease  our highly trained and experienced ...,"['privacy policy outlines', 'po box 5040', 'immune systems change', 'hon richard colbeck', 'following things **', 'exhibition park canberra', 'emergency warning signs', 'dorothy henderson lodge', 'date clinical guidance', '1800 020 080']","['absolute home care staff', 'absolute home care', 'aged care expo rick respite care absolute home care client information', 'home care', 'home care providers', 'aged care service providers', 'aged care', 'critical health care staff', 'personal care', 'reception@absolutehomecare.com.au absolute home care']","['home nurs care servic new', 'coronaviru contact', 'complaint', 'client testimoni', 'hour contact samantha', 'person care', 'letter', 'chief medic offic feedback', 'helen armstrong', 'partner']","['absolute_home_care', 'nursing_personal_care', 'care_respite_care', 'personal_care_respite', 'care_wide_range', 'home_care_wide', 'range_speciality_nursing', 'wide_range_speciality', 'aged_care_facility', 'aged_care_worker']",False
https://www.avant.org.au/contact-us/,Contact us - Avant,We are available Monday – Friday  8am – 7pm AET (Australian Eastern Time). ... With a deep understanding of the broad healthcare environment  she assists ... Tony believes his experience and human relations skills are key when assisting ...,"['unexploded land mines', 'outdoor gym exercising', 'nearly 150 hospitalisations', 'médecins sans frontières', 'loves playing netball', 'installing kitchen benchtops', 'highly motivated individuals', 'deeper subcutaneous fat', 'australasian gynaecological endoscopy', 'afsl 239 545']","['patient care', 'other patients', 'patients', 'patient records', 'new patients', 'many patients', 'covid-19 patients', 'different patients', 'patient expectations', 'waiting patients']","['home practic', 'patient', 'doctor', 'complaint', 'interplast avant', 'claim', 'risk manag', 'disclosur', 'profession', 'person inform']","['year_medical_student', 'practice_medical_indemnity', 'avant_practice_medical', 'medico_legal_risk', 'retirement_reward_plan', 'australian_privacy_principle', 'avant_mutual_group', 'code_conduct_doctor', 'medical_indemnity_policy', 'mental_health_issue']",False
https://www.carevision.com/,CareVision | Consumer Directed Care Technology for NDIS ...,CareVision offers innovative technology and service solutions for older people  their families and care providers that are intuitive  social and effective.,"['total kilometers traveled', 'serious red flags', 'longman et al', 'jiyu ong description', 'heffner et al', 'comedian dave chappelle', 'avoiding bill shock', '4657765 "", formid', '1800 372 310', '1800 200 422']","['aged care services', 'care services', 'home care services', 'aged care clients', 'home care clients', 'health care', 'aged care service', 'aged care solutions', 'aged care providers', 'aged care support']","['home care organis', 'function age care manag softwar', 'commun', 'carevis privaci polici social isol', 'client', 'servic', 'famili', 'carevis', 'retir experi', 'care']","['aged_care_home', 'care_home_care', 'home_care_package', 'home_care_software', 'aged_care_system', 'carevision_personal_information', 'daily_living_activity', 'aged_care_sector', 'health_aged_care', 'home_care_provider']",True
https://www.checkedincare.com.au/,Checked in Care Connect | A Better Quality of LIfe,Checked in Care Connect. Home ... AUSTRALIA. PHONE. 1300 30 CARE (2273). EMAIL. sales@checkedincare.com.au · support@checkedincare.com.au ...,"['trends emerging internationally', 'sculptor paul dibble', 'planning estimates show', 'memory loss suites', 'may 2017 showed', 'last 4 weeks', 'largest privately owned', 'introduce smarter systems', 'hospital grade beds', 'additional 60 prints']","['bupa aged care connect app', 'bupa aged care connect', 'family connect workflows', 'aged care', 'bupa aged care', 'additional family members', 'aged care providers', 'other family members', 'aged care australia', 'australian aged care providers']","['connect', 'age care facil', 'app provic', 'one', 'manag connect famili', 'staff', 'easi way', 'client', 'self', 'video call']","['aged_care_facility', 'well_quality_life', 'australian_aged_care', 'client_staff_family', 'family_member_next', 'founder_owner_large', 'large_company_revenue', 'owner_large_company', 'aged_care_ecosystem', 'aged_care_sector']",False
https://www.datacaptureexperts.com.au/about-us/,About Us - Data Capture Experts,At Data Capture Experts  we've got it all covered. ... Since our inception  we've helped several leading Australian organisations  in heavily-regulated industries  ... Melbourne VIC 3004. Australia enquiries@datacaptureexperts.com.au,"['uncertainly recognized characters', 'loddon mallee region', 'fuzzy lookups dictionaries', 'ehr ), radiology', 'default throttling limits', 'certified scrum master', 'augmenting medical coders', 'aka mail merging', 'reducing waiting times', 'submitting regulatory filings']","['document driven business processes', 'document process automation', 'document management systems', 'business documents', 'several document centric business processes', 'document centric processes', 'modern business process management solutions', 'advance document data capture solutions', 'document information capture', 'business critical documents']","['inform visibl', 'care coordin', 'client', 'schedul', 'sharepoint', 'document control', 'clinic document key featur', 'mental health servic', 'care', 'ap autom solut']","['datum_capture_expert', 'mental_health_service', 'document_management_system', 'referral_management_system', 'smart_process_application', 'document_record_management', 'electronic_document_record', 'client_management_system', 'community_care_service', 'document_centric_business']",False
https://www.hms.com.au/about-us.html,About HMS - Health Management Systems,Dedicated HMS team providing latest health care solutions. ... Health Management Systems Australia ... The scaleable nature of our products mean you can find HMS in organisations as large as Northern Health  Monash Health and ComLink  ...,"['staying ndis compliant', 'echuca regional health', 'approach save time', 'per sms 16', 'august 2018 20', '2018 thanks jennifer', 'use transit add', 'per sms 9', 'per sms 4', 'per sms']","['bundle', '50000 sms bundle\n\t\t\t\t\t \u200bbetter care hms sms bundle \u200bbetter business', 'sms', 'hms', 'time', 'echuca regional health', 'client', 'gst', 'staff', 'sms bundle \n\t\t\t\t\t \n\t\t\t\t\t\t']","['sm bundl', 'maximis staff product', 'client', 'hm', 'time', 'approach', 'address', 'mobil notif', 'complex care', 'email']","['cent_sms_cent', 'sms_cent_sms', 'address_approach_time', 'approach_time_compliant', 'business_client_system', 'care_listener_scheduling', 'care_reply_email', 'care_well_business', 'cent_sms_comment', 'cent_sms_more']",False
https://www.freedom2live.com.au/new-helpa-app-connects-families-to-special-needs-support/,New HELPA app connects families to special needs support ...,Nov 14  2018 — The HELPA app allows users to search and connect to therapists and clinicians ... it offers a full range of support services across Australia and globally. ... visit: https://helpa.app/faqs/ and for carers: https://helpa.app/carer-faqs/.,"['worst injured survivor', 'vw bug remodeled', 'protecting imperiled species', 'inflatable calming station', 'former swans footballer', 'fairly structured routine', 'emma bennison welcomed', 'elite cp footballers', 'coach kevin orr', 'beat aussie ark']","['disability ndis', 'disability services', 'disability service providers', 'disability disability funding', 'specialist disability services', 'disability programs', 'child disability', 'nda disability services', 'disability advocacy services', 'disability shopping service']","['peopl', 'disabl', 'ndi', 'new era', 'telehealth servic', 'autism', 'access australia app', 'home', 'virtual disabl expo', 'disabl fund']","['child_young_people', 'young_people_disability', 'assistive_technology_supplier', 'specialist_disability_housing', 'service_people_disability', 'allied_health_professional', 'average_more_word', 'book_child_young', 'child_special_need', 'core_activity_limitation']",False
https://www.hivetec.com.au/,Hivetec - Flexible software solutions for employment_ care and ...,Hivetec is an Australian provider of integrated Customer Relationship Management ... sales@hivetec.com.au ... About Us. Hivetec have been building enterprise software solutions that support Australian Government programs since 2008.,"['promote meaningful interactions', 'previous price list', 'netherlands barbados lost', 'mitigate compliance risks', 'lebanon são tomé', 'herzegovina export files', 'export ready files', 'build great products', 'australian irap assessment', '3 results apartment']","['service providers', 'bridge care', 'bridge finance', 'agreed customer service activity', 'local australian service provider challenges', 'more monaco bridge', 'monaco bridge', 'syria bridge', 'poland bridge', 'new caledonia latvia albania guinea bridge care']","['care', 'placement sustain', 'busi ndi', 'employ', 'account', 'consum', 'support', 'activ', 'schedul', 'claim']","['employment_care_support', 'care_service_provider', 'easy_bridge_document', 'file_note_attachment', 'note_attachment_searchable', 'secure_easy_bridge', 'advantage_bridge_intuitive', 'analysis_block_service', 'australian_government_program', 'benefit_provider_consultant']",False
https://myintegra.com.au/,Integra: NDIS Plan Management | NDIS Support Coordination,Integra is an independent  NDIS approved provider here to help you on your NDIS journey through our plan management and ... Extensive experience in Australian disability services. ... Mother of MyIntegra Plan Management Participant.,"['sap consulting firm', 'issued photo identification', 'exercise extra vigilance', 'chairman bruce bonyhady', '90 per cent', '7th december 2017', '1800 800 110', '1800 696 347', '1800 675 398', '1300 962 522']","['ndis approved service provider integra', 'ndis plan reviews', 'ndis plan management', 'ndis plan sign', 'ndis registered providers', 'support plan', 'ndis registered providers integra', 'ndis plan managers', 'ndis support', 'ndis budget management']","['ndi regist', 'provid integra plan manag sign', 'support coordin', 'person inform', 'top tip', 'plan review provid', 'myintegra', 'provid', 'integra', 'covid-19 crisi flexibl']","['local_area_coordinator', 'management_support_coordination', 'myintegra_plan_management', 'plan_management_option', 'plan_management_plan', 'home_carer_direct', 'plan_management_participant', 'plan_management_support', 'plan_plan_management', 'provider_plan_management']",False
