search_text,title,link,description,rich_description,keywords_bi,keywords_tri
https://www.meshedgroup.com.au/about/ Australia,Meshed Group | Comprehensive Education Management ...,https://www.meshedgroup.com.au/,Customisable  cloud-based  affordable and are continually evolving to meet the challenges of the Education Industry in Australia. Educational Enterprise ...,Meshed Group solutions are suited to any sized education providers or enterprises. Customisable  cloud-based  affordable and are continually evolving to meet the challenges of the Education Industry in Australia. Educational Enterprise Management Systems and Student Management Systems,nan,"[[['affordable_challenge', 1.0], ['challenge_education', 1.0], ['cloud_affordable', 1.0], ['customisable_cloud', 1.0], ['education_industry', 1.0], ['educational_enterprise', 1.0], ['industry_educational', 1.0], ['management_system', 1.0], ['education_provider', 0.5], ['enterprise_customisable', 0.5], ['enterprise_group', 0.5], ['enterprise_management', 0.5], ['group_solution', 0.5], ['provider_enterprise', 0.5], ['sized_education', 0.5], ['solution_sized', 0.5], ['student_management', 0.5]]]","[[['affordable_challenge_education', 1.0], ['challenge_education_industry', 1.0], ['cloud_affordable_challenge', 1.0], ['customisable_cloud_affordable', 1.0], ['education_industry_educational', 1.0], ['industry_educational_enterprise', 1.0], ['education_provider_enterprise', 0.5], ['educational_enterprise_group', 0.5], ['educational_enterprise_management', 0.5], ['enterprise_customisable_cloud', 0.5], ['enterprise_group_solution', 0.5], ['enterprise_management_system', 0.5], ['group_solution_sized', 0.5], ['management_system_student', 0.5], ['provider_enterprise_customisable', 0.5], ['sized_education_provider', 0.5], ['solution_sized_education', 0.5], ['student_management_system', 0.5]]]"
http://powerprorto.com.au/ Australia,PowerPro RTO - Training Management System | Student ...,https://powerprorto.com.au/,Compliant with Australian VET Standards ... PowerPro RTO complies with the different State and Territory funding program requirements (e.g. User Choice  ... CONTACT; P: (08) 9511 1040; support@powerprorto.com.au; Vidatek PO Box 266,nan,nan,"[[['australian_vet', 1.0], ['choice_contact', 1.0], ['compliant_australian', 1.0], ['complie_different', 1.0], ['contact_support', 1.0], ['different_state', 1.0], ['funding_program', 1.0], ['program_requirement', 1.0], ['requirement_choice', 1.0], ['standard_complie', 1.0], ['state_territory', 1.0], ['support_com', 1.0], ['territory_funding', 1.0]]]","[[['australian_vet_standard', 1.0], ['choice_contact_support', 1.0], ['compliant_australian_vet', 1.0], ['complie_different_state', 1.0], ['contact_support_com', 1.0], ['different_state_territory', 1.0], ['funding_program_requirement', 1.0], ['program_requirement_choice', 1.0], ['requirement_choice_contact', 1.0], ['standard_complie_different', 1.0], ['state_territory_funding', 1.0], ['territory_funding_program', 1.0]]]"
https://skillsbook.com.au/aboutus Australia,About - Skillsbook,https://skillsbook.com.au/aboutus,Online Courses Australia use Skillsbook® to offer RPL to their students. They use our unique course builder to set up courses and build a range of assessments ...,nan,nan,"[[['builder_course', 1.0], ['course_builder', 1.0], ['course_range', 1.0], ['range_assessment', 1.0], ['student_unique', 1.0]]]","[[['builder_course_range', 1.0], ['course_builder_course', 1.0], ['course_range_assessment', 1.0], ['student_unique_course', 1.0]]]"
https://www.axcelerate.com.au/about Australia,aXcelerate,https://www.axcelerate.com.au/,aXcelerate is Australia's leading student management system. aXcelerate is the most innovative and feature rich SMS on the market  helping you create the best ...,Make AVETMISS reporting and compliance easier  and manage every aspect of your training organisation— students  courses  assessments  scheduling  and more.,nan,"[[['aspect_training', 1.0], ['assessment_more', 1.0], ['avetmiss_reporting', 1.0], ['axcelerate_innovative', 1.0], ['compliance_easy', 1.0], ['course_assessment', 1.0], ['easy_aspect', 1.0], ['good_avetmiss', 1.0], ['innovative_rich', 1.0], ['management_system', 1.0], ['market_good', 1.0], ['organisation_course', 1.0], ['reporting_compliance', 1.0], ['rich_sms', 1.0], ['sms_market', 1.0], ['student_management', 1.0], ['system_axcelerate', 1.0]]]","[[['aspect_training_organisation', 1.0], ['avetmiss_reporting_compliance', 1.0], ['axcelerate_innovative_rich', 1.0], ['compliance_easy_aspect', 1.0], ['course_assessment_more', 1.0], ['easy_aspect_training', 1.0], ['good_avetmiss_reporting', 1.0], ['innovative_rich_sms', 1.0], ['management_system_axcelerate', 1.0], ['market_good_avetmiss', 1.0], ['organisation_course_assessment', 1.0], ['reporting_compliance_easy', 1.0], ['rich_sms_market', 1.0], ['sms_market_good', 1.0], ['student_management_system', 1.0], ['system_axcelerate_innovative', 1.0]]]"
https://vastosoftware.com.au/ Australia,Vasto Educator: RTO Management Software with integrated ...,https://vastosoftware.com.au/,Contact Vasto Software. Head Office Level 1  50 Yeo Street Neutral Bay ... Sales Enquiries. Phone: (02) 9188 9491. Email: enquiries@vastosoftware.com.au.,Vasto Educator is world-class RTO Management software with an integrated Learning Management System (LMS)  suitable for all Registered Training Organisations. Request a free demonstration.,nan,"[[['com_vasto', 1.0], ['contact_vasto', 1.0], ['email_enquiry', 1.0], ['enquiry_phone', 1.0], ['enquiry_vastosoftware', 1.0], ['free_demonstration', 1.0], ['head_office', 1.0], ['learning_management', 1.0], ['level_sale', 1.0], ['management_software', 1.0], ['management_system', 1.0], ['office_level', 1.0], ['organisation_free', 1.0], ['phone_email', 1.0], ['sale_enquiry', 1.0], ['software_head', 1.0], ['software_learning', 1.0], ['suitable_training', 1.0], ['system_suitable', 1.0], ['training_organisation', 1.0], ['vasto_management', 1.0], ['vasto_software', 1.0]]]","[[['com_vasto_management', 1.0], ['contact_vasto_software', 1.0], ['email_enquiry_vastosoftware', 1.0], ['enquiry_phone_email', 1.0], ['enquiry_vastosoftware_com', 1.0], ['head_office_level', 1.0], ['learning_management_system', 1.0], ['level_sale_enquiry', 1.0], ['management_software_learning', 1.0], ['management_system_suitable', 1.0], ['office_level_sale', 1.0], ['organisation_free_demonstration', 1.0], ['phone_email_enquiry', 1.0], ['sale_enquiry_phone', 1.0], ['software_head_office', 1.0], ['software_learning_management', 1.0], ['suitable_training_organisation', 1.0], ['system_suitable_training', 1.0], ['training_organisation_free', 1.0], ['vasto_management_software', 1.0], ['vasto_software_head', 1.0]]]"
https://ebecas.com.au/about/ Australia,eBECAS – College Administration Software,https://ebecas.com.au/,eBECAS provides for the update of CoE and Visa details to assist with monitoring of Visa refusal and Genuine Temporary Entrance. SMS_lexsurf ...,nan,nan,"[[['detail_monitoring', 1.0], ['genuine_temporary', 1.0], ['monitoring_refusal', 1.0], ['refusal_genuine', 1.0], ['temporary_entrance', 1.0]]]","[[['detail_monitoring_refusal', 1.0], ['genuine_temporary_entrance', 1.0], ['monitoring_refusal_genuine', 1.0], ['refusal_genuine_temporary', 1.0]]]"
https://ammonite.com.au/ Australia,Ammonite,https://ammonite.com.au/,Learning Management System. The Australian cloud-based LMS. All of your training needs in one package. Get Started ...,Ammonite LMS,nan,"[[['australian_cloud', 1.0], ['cloud_training', 1.0], ['management_system', 1.0], ['system_australian', 1.0]]]","[[['australian_cloud_training', 1.0], ['cloud_training_package', 1.0], ['management_system_australian', 1.0]]]"
https://www.classe365.com/about-classe365/ Australia,Classe365: School Management Software | Student ...,https://www.classe365.com/,Classe365 provides student information system  learning management system  CRM and student management software for school  academy  college ...,Classe365 provides student information system  learning management system  CRM and student management software for school  academy  college & university,nan,"[[['information_system', 1.0], ['management_software', 1.0], ['management_system', 1.0], ['student_information', 1.0], ['student_management', 1.0], ['system_management', 1.0], ['system_student', 1.0]]]","[[['information_system_management', 1.0], ['management_system_student', 1.0], ['student_information_system', 1.0], ['student_management_software', 1.0], ['system_management_system', 1.0], ['system_student_management', 1.0], ['management_software_student', 0.5]]]"
http://www.sparksrto.com.au/ Australia,Coronavirus (COVID-19) - Official Australian Government ...,https://www.australia.gov.au/,The official Australian Government response website to provide support and updates to Australians on the Coronavirus pandemic.,The official Australian Government response website to provide support and updates to Australians on the Coronavirus pandemic.,nan,"[[['australian_government', 1.0], ['government_response', 1.0], ['official_australian', 1.0], ['response_website', 1.0], ['support_update', 1.0], ['update_australian', 1.0], ['website_support', 1.0]]]","[[['australian_government_response', 1.0], ['government_response_website', 1.0], ['official_australian_government', 1.0], ['response_website_support', 1.0], ['support_update_australian', 1.0], ['website_support_update', 1.0], ['australian_official_australian', 0.5]]]"
https://www.ish.com.au/about/ Australia,About us - ish onCourse,https://www.ish.com.au/about/,Since the year 2000  ish have been providing student management software solutions to Australian and overseas colleges of all shapes and sizes  including ...,ish onCourse. The most comprehensive and easy to use  marketing and enrolment system available.,nan,"[[['australian_overseas', 1.0], ['college_shape', 1.0], ['comprehensive_easy', 1.0], ['easy_marketing', 1.0], ['enrolment_system', 1.0], ['management_software', 1.0], ['marketing_enrolment', 1.0], ['overseas_college', 1.0], ['shape_size', 1.0], ['size_comprehensive', 1.0], ['software_solution', 1.0], ['solution_australian', 1.0], ['student_management', 1.0], ['system_available', 1.0]]]","[[['australian_overseas_college', 1.0], ['college_shape_size', 1.0], ['comprehensive_easy_marketing', 1.0], ['easy_marketing_enrolment', 1.0], ['enrolment_system_available', 1.0], ['management_software_solution', 1.0], ['marketing_enrolment_system', 1.0], ['overseas_college_shape', 1.0], ['shape_size_comprehensive', 1.0], ['size_comprehensive_easy', 1.0], ['software_solution_australian', 1.0], ['solution_australian_overseas', 1.0], ['student_management_software', 1.0]]]"
http://aceavetmiss.com.au/about-us/ Australia,Ace Avetmiss – Ace your Avetmiss reporting,http://aceavetmiss.com.au/,Feb 17  2020 — Skip to content. 0403 786 240|support@aceavetmiss.com.au ... Why Choose Us. Fast  Powerful ... requirements. CEO  Skills Institute Australia ...,"Training Organisation
Training Organisation Delivery Locations
Programs
Subjects
Clients
Client Enrolments
Program Completion
 
Export AVETMISS Release 8.0 compliant data files (NAT files) for the National VET Provider Collection. 
If",nan,"[[['aceavetmiss_com', 1.0], ['avetmiss_release', 1.0], ['client_client', 1.0], ['client_program', 1.0], ['com_powerful', 1.0], ['completion_export', 1.0], ['compliant_data', 1.0], ['content_support', 1.0], ['data_file', 1.0], ['delivery_location', 1.0], ['export_avetmiss', 1.0], ['file_file', 1.0], ['file_national', 1.0], ['location_program', 1.0], ['national_vet', 1.0], ['powerful_requirement', 1.0], ['program_client', 1.0], ['program_completion', 1.0], ['provider_collection', 1.0], ['release_compliant', 1.0], ['requirement_delivery', 1.0], ['support_aceavetmiss', 1.0]]]","[[['aceavetmiss_com_powerful', 1.0], ['avetmiss_release_compliant', 1.0], ['client_client_program', 1.0], ['client_program_completion', 1.0], ['com_powerful_requirement', 1.0], ['completion_export_avetmiss', 1.0], ['compliant_data_file', 1.0], ['content_support_aceavetmiss', 1.0], ['data_file_file', 1.0], ['delivery_location_program', 1.0], ['export_avetmiss_release', 1.0], ['file_file_national', 1.0], ['file_national_vet', 1.0], ['location_program_client', 1.0], ['national_vet_provider', 1.0], ['powerful_requirement_delivery', 1.0], ['program_client_client', 1.0], ['program_completion_export', 1.0], ['release_compliant_data', 1.0], ['requirement_delivery_location', 1.0], ['support_aceavetmiss_com', 1.0]]]"
https://www.tutis.com.au/ Australia,Training Compliance Software Solutions | Tutis Operations,https://www.tutis.com.au/,The Tutis training compliance software solutions take the complexity and risk out of ... and integration with the mining standards database training.gov.au).,The Tutis training compliance software solutions take the complexity and risk out of compliance management. Tutis provides cloud based solutions across workforce capability  skillset and training management,nan,"[[['compliance_software', 1.0], ['software_solution', 1.0], ['solution_complexity', 1.0], ['training_compliance', 1.0], ['tutis_training', 1.0], ['capability_skillset', 0.5], ['cloud_solution', 0.5], ['complexity_compliance', 0.5], ['complexity_integration', 0.5], ['compliance_management', 0.5], ['integration_mining', 0.5], ['management_tutis', 0.5], ['mining_standard', 0.5], ['skillset_training', 0.5], ['solution_capability', 0.5], ['standard_training', 0.5], ['training_management', 0.5], ['training_tutis', 0.5]]]","[[['compliance_software_solution', 1.0], ['software_solution_complexity', 1.0], ['training_compliance_software', 1.0], ['tutis_training_compliance', 1.0], ['capability_skillset_training', 0.5], ['cloud_solution_capability', 0.5], ['complexity_compliance_management', 0.5], ['complexity_integration_mining', 0.5], ['compliance_management_tutis', 0.5], ['integration_mining_standard', 0.5], ['management_tutis_cloud', 0.5], ['mining_standard_training', 0.5], ['skillset_training_management', 0.5], ['solution_capability_skillset', 0.5], ['solution_complexity_compliance', 0.5], ['solution_complexity_integration', 0.5], ['standard_training_tutis', 0.5], ['training_tutis_training', 0.5]]]"
https://app.tapforteacher.com.au/about-us Australia,Tap For Teacher,https://www.tapforteacher.com.au/,Tap for Teacher connects schools with relief teachers at the click of a button. It's the ultimate in ... Download our iOS or Android app to leverage the full power of Tap for Teacher. ... Endorsed by the Australian Primary Principals Association.,nan,nan,"[[['tap_teacher', 1.0], ['australian_association', 0.5], ['button_ultimate', 0.5], ['click_button', 0.5], ['connect_school', 0.5], ['download_full', 0.5], ['full_power', 0.5], ['power_tap', 0.5], ['relief_teacher', 0.5], ['school_relief', 0.5], ['teacher_australian', 0.5], ['teacher_click', 0.5], ['teacher_connect', 0.5]]]","[[['button_ultimate_download', 1.0], ['click_button_ultimate', 1.0], ['connect_school_relief', 1.0], ['download_full_power', 1.0], ['full_power_tap', 1.0], ['power_tap_teacher', 1.0], ['relief_teacher_click', 1.0], ['school_relief_teacher', 1.0], ['tap_teacher_australian', 1.0], ['tap_teacher_connect', 1.0], ['teacher_australian_association', 1.0], ['teacher_click_button', 1.0], ['teacher_connect_school', 1.0]]]"
https://www.seekateacher.co.nz/ Australia,Gemma Clancy - Founder - SeekaTeacher | LinkedIn,https://nz.linkedin.com/in/gemma-clancy-790a14161,... University of Wellington. Wellington & Wairarapa  New Zealand192 connections ... Company Website: seekateacher.co.nz External link. Company Website ...,675 million+ members | Manage your professional identity. Build and engage with your professional network. Access knowledge  insights and opportunities.,nan,"[[['access_knowledge', 1.0], ['identity_professional', 1.0], ['insight_opportunity', 1.0], ['knowledge_insight', 1.0], ['member_professional', 1.0], ['network_access', 1.0], ['professional_identity', 1.0], ['professional_network', 1.0]]]","[[['access_knowledge_insight', 1.0], ['identity_professional_network', 1.0], ['knowledge_insight_opportunity', 1.0], ['member_professional_identity', 1.0], ['network_access_knowledge', 1.0], ['professional_identity_professional', 1.0], ['professional_network_access', 1.0]]]"
https://www.first2click.com.au/ Australia,First2Click Schools: School work | Queensland,https://www.first2click.com.au/,Get work in Queensland schools as a teacher aide  cleaner etc.,Get work in Queensland schools as a teacher aide  cleaner etc,nan,"[[['aide_clean', 1.0], ['queensland_school', 1.0], ['school_teacher', 1.0], ['teacher_aide', 1.0], ['work_queensland', 1.0]]]","[[['queensland_school_teacher', 1.0], ['school_teacher_aide', 1.0], ['teacher_aide_clean', 1.0], ['work_queensland_school', 1.0], ['aide_clean_work', 0.5]]]"
http://teachersearch.com.au/ Australia,anzuk.education - Australia,https://www.anzuk.education/au/home,Work locally. Connect with our extensive network of schools across Australia and enjoy ongoing support from anzuk  no matter where you are. Australian locations ...,anzuk places exceptional teachers in vibrant education settings around the world. Always helping educators make the right choice. Enjoy personalised support throughout your career journey  whether you're a graduate  returning to work or a community leader. ,nan,"[[['anzuk_australian', 1.0], ['australian_location', 1.0], ['career_journey', 1.0], ['choice_enjoy', 1.0], ['community_leader', 1.0], ['education_setting', 1.0], ['educator_right', 1.0], ['enjoy_support', 1.0], ['exceptional_teacher', 1.0], ['extensive_network', 1.0], ['graduate_work', 1.0], ['journey_graduate', 1.0], ['location_exceptional', 1.0], ['network_school', 1.0], ['ongoing_support', 1.0], ['right_choice', 1.0], ['school_ongoing', 1.0], ['setting_world', 1.0], ['support_anzuk', 1.0], ['support_career', 1.0], ['teacher_vibrant', 1.0], ['vibrant_education', 1.0], ['work_community', 1.0]]]","[[['anzuk_australian_location', 1.0], ['australian_location_exceptional', 1.0], ['career_journey_graduate', 1.0], ['choice_enjoy_support', 1.0], ['education_setting_world', 1.0], ['educator_right_choice', 1.0], ['enjoy_support_career', 1.0], ['exceptional_teacher_vibrant', 1.0], ['extensive_network_school', 1.0], ['graduate_work_community', 1.0], ['journey_graduate_work', 1.0], ['location_exceptional_teacher', 1.0], ['network_school_ongoing', 1.0], ['ongoing_support_anzuk', 1.0], ['right_choice_enjoy', 1.0], ['school_ongoing_support', 1.0], ['setting_world_educator', 1.0], ['support_anzuk_australian', 1.0], ['support_career_journey', 1.0], ['teacher_vibrant_education', 1.0], ['vibrant_education_setting', 1.0], ['work_community_leader', 1.0]]]"
https://reliefruler.com.au/#about Australia,Relief Ruler,https://reliefruler.com.au/,Relief Ruler helps schools to connect with their existing relief teachers and ... Drop us a line at sales@reliefruler.com.au and we'll get you started on your way.,nan,nan,"[[['com_way', 1.0], ['line_sale', 1.0], ['relief_ruler', 1.0], ['relief_teacher', 1.0], ['reliefruler_com', 1.0], ['ruler_school', 1.0], ['sale_reliefruler', 1.0], ['school_relief', 1.0]]]","[[['line_sale_reliefruler', 1.0], ['relief_ruler_school', 1.0], ['relief_teacher_line', 1.0], ['reliefruler_com_way', 1.0], ['ruler_school_relief', 1.0], ['sale_reliefruler_com', 1.0], ['school_relief_teacher', 1.0]]]"
