,id,avention_link,avention_address,avention_type
0,604f898da8ff6195bc26d992,www.ielts.com.au,"L 8 535 Bourke St Melbourne, Victoria, 3000 Australia ","Private Subsidiary, Headquarters"
1,604f9917a8ff6195bc26da46,No data,No data,No data
2,602f9b7b7ba8308c59e0f51b,www.auspost.com.au,"111 Bourke St Melbourne, Victoria, 3000 Australia ","Private Parent, Headquarters"
3,604f7322a8ff6195bc26d86f,No data,"957 Puketitiri Road , Rd 2 Napier, 4182 New Zealand",Private Independent
4,604f838fa8ff6195bc26d943,No data,No data,No data
5,604f8926a8ff6195bc26d98c,No data,No data,No data
6,604fa8075080c72c8450402d,www.languages.ac.nz,"City Centre 27 Princes Street Auckland, 1010 New Zealand ",Private Independent
7,604f86bba8ff6195bc26d973,No data,No data,No data
8,604f92b0a8ff6195bc26d9f3,No data,No data,No data
9,604f9390a8ff6195bc26da00,www.education.net.au,"4 Tindall Pl North Nowra, New South Wales, 2541 Australia",Private Independent
10,60420760a63926c168451567,No data,No data,No data
11,602cc22c4512a34739136411,No data,No data,No data
12,604f75fda8ff6195bc26d88d,www.triplep.net,"11 Market St N Indooroopilly, Queensland, 4068 Australia ","Private Parent, Headquarters"
13,604f77c4a8ff6195bc26d8a1,No data,No data,No data
14,602aa10d1a03b37ed3a71dd6,No data,No data,No data
15,604fa4c55080c72c84504003,www.rmsanz.net,"4 Council St Wallsend, New South Wales, 2287 Australia",Private Independent
16,604f776ca8ff6195bc26d89d,No data,No data,No data
17,604f7a43a8ff6195bc26d8c8,www.nzse.ac.nz,"Level1 , 3033 Great North Road , New Lynn Auckland, 0600 New Zealand",Private Independent
18,604f7ad1a8ff6195bc26d8d0,No data,No data,No data
19,604f7b96a8ff6195bc26d8dc,No data,No data,No data
20,604f963ba8ff6195bc26da21,www.canterbury.ac.nz,"University Dr , Ilam Christchurch, 8140 New Zealand",Private Independent
21,604fac095080c72c8450405d,www.dsf.net.au,"10 Broome Street South Perth, Western Australia, 6151 Australia",Private Independent
22,604f93eba8ff6195bc26da04,No data,No data,No data
23,604f89e5a8ff6195bc26d996,No data,No data,No data
24,604fae7a5080c72c8450407f,No data,No data,No data
25,604f76cfa8ff6195bc26d895,No data,No data,No data
